Time,Sex,Percentage,Type
2018.0,Male,67.0540008544922,services
2019.0,Male,67.120002746582,services
1991.0,Male,32.1510009765625,industry
1992.0,Male,31.9099998474121,industry
1993.0,Male,32.0410003662109,industry
1994.0,Male,31.923999786377,industry
1995.0,Male,31.30299949646,industry
1996.0,Male,30.867000579834,industry
1997.0,Male,30.5090007781982,industry
1998.0,Male,30.2660007476807,industry
1999.0,Male,29.8689994812012,industry
2000.0,Male,30.4640007019043,industry
2001.0,Male,29.5909996032715,industry
2002.0,Male,29.9150009155273,industry
2003.0,Male,29.9489994049072,industry
2004.0,Male,30.6760005950928,industry
2005.0,Male,30.6450004577637,industry
2006.0,Male,31.1229991912842,industry
2007.0,Male,31.1019992828369,industry
2008.0,Male,31.6550006866455,industry
2009.0,Male,31.2689990997314,industry
2010.0,Male,31.0960006713867,industry
2011.0,Male,30.9710006713867,industry
2012.0,Male,30.9599990844727,industry
2013.0,Male,30.6259994506836,industry
2014.0,Male,31.7339992523193,industry
2015.0,Male,30.576000213623,industry
2016.0,Male,30.3209991455078,industry
2017.0,Male,29.5890007019043,industry
2018.0,Male,29.5659999847412,industry
2019.0,Male,29.5279998779297,industry
